"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         107,      -6.162592412,      -6.485098855,      -6.409980783,      -5.636279156,      -11.30873075
          0,           0,         108,      -6.164744527,      -6.488071785,       -6.41097353,      -5.638185007,      -11.30684916
          0,           0,         109,      -6.167077669,        -6.4913709,      -6.411642824,      -5.640255153,      -11.30481968
          0,           0,         110,      -6.169587295,      -6.494972443,      -6.412150527,      -5.642497325,      -11.30265812
          0,           0,         111,      -6.172268667,      -6.498843301,      -6.412654183,      -5.644918128,      -11.30031212
          0,           0,         112,      -6.175116878,      -6.502945589,      -6.413297196,      -5.647522357,       -11.2978587
          0,           0,         113,      -6.178128835,      -6.507237843,      -6.414201167,      -5.650314528,      -11.29532419
          0,           0,         114,      -6.181302395,      -6.511676537,      -6.415461125,      -5.653298767,      -11.29274158
          0,           0,         115,      -6.184637612,      -6.516217969,      -6.417142217,      -5.656479392,      -11.29016747
          0,           0,         116,      -6.188141415,      -6.520819981,      -6.419279506,       -5.65986497,      -11.28765053
          0,           0,         117,      -6.191847071,      -6.525441836,      -6.421877247,       -5.66348211,      -11.28520256
          0,           0,         118,      -6.195861799,       -6.53004777,      -6.424911175,       -5.66740965,      -11.28289651
          0,           0,         119,      -6.200176637,      -6.534613841,      -6.428329638,      -5.671638956,      -11.28035915
          0,           0,         120,      -6.205004561,       -6.53933353,      -6.432321261,      -5.676400968,      -11.27829148
          0,           0,         121,       -6.21005242,      -6.544005655,      -6.436550191,      -5.681412885,      -11.27640757
          0,           0,         122,      -6.215334567,      -6.548587454,      -6.440892519,      -5.686682265,      -11.27475916
          0,           0,         123,      -6.220853783,      -6.553059694,      -6.445215144,      -5.692207395,      -11.27298759
          0,           0,         124,      -6.226974782,       -6.55760067,      -6.449656854,      -5.698348056,      -11.27176446
          0,           0,         125,       -6.23340472,      -6.562052385,      -6.453780611,      -5.704793928,      -11.27072802
          0,           0,         126,      -6.240149536,        -6.5663701,      -6.457457822,      -5.711540416,      -11.26986009
          0,           0,         127,      -6.247215902,      -6.570541117,      -6.460588654,      -5.718583526,      -11.26877208
          0,           0,         128,      -6.255052872,      -6.574733599,      -6.463293718,      -5.726355243,      -11.26818417
          0,           0,         129,      -6.263249004,      -6.578810588,      -6.465298964,      -5.734433241,      -11.26778003
          0,           0,         130,      -6.271801857,      -6.582721509,      -6.466616604,      -5.742798676,      -11.26754126
          0,           0,         131,      -6.280688722,      -6.586451527,       -6.46729782,      -5.751419638,      -11.26736817
          0,           0,         132,      -6.289889415,      -6.589989009,      -6.467422675,      -5.760267318,      -11.26700075
          0,           0,         133,      -6.299931535,      -6.593468218,      -6.467145423,      -5.769834048,      -11.26696593
          0,           0,         134,      -6.310258721,      -6.596754656,      -6.466492214,      -5.779575774,        -11.266993
          0,           0,         135,      -6.320840816,      -6.599789213,      -6.465583516,      -5.789452952,       -11.2670208
          0,           0,         136,      -6.331637349,      -6.602548623,      -6.464532633,      -5.799419276,      -11.26706199
          0,           0,         137,      -6.342594706,      -6.605017608,      -6.463439119,      -5.809421996,      -11.26709394
          0,           0,         138,      -6.353659383,      -6.607183167,      -6.462386147,      -5.819407564,      -11.26711411
          0,           0,         139,      -6.364774353,      -6.609035976,      -6.461440448,      -5.829321725,      -11.26707842
          0,           0,         140,      -6.375876707,      -6.610568497,      -6.460654561,      -5.839105069,      -11.26697412
          0,           0,         141,      -6.386896009,      -6.611777209,       -6.46006921,      -5.848693873,      -11.26680274
          0,           0,         142,      -6.397751066,      -6.612665089,       -6.45971649,      -5.858015349,      -11.26652689
          0,           0,         143,      -6.408353665,      -6.613240871,      -6.459622879,      -5.866992837,      -11.26616459
          0,           0,         144,      -6.418607895,      -6.613520266,      -6.459812294,      -5.875545639,       -11.2657325
          0,           0,         145,      -6.428410918,      -6.613526367,      -6.460308582,      -5.883590135,      -11.26520997
          0,           0,         146,      -6.437653362,      -6.613289779,      -6.461137337,      -5.891041419,      -11.26462691
          0,           0,         147,      -6.446223738,      -6.612848505,      -6.462327076,      -5.897817483,       -11.2639626
          0,           0,         148,      -6.454010357,      -6.612247247,      -6.463909331,      -5.903840549,      -11.26322282
          0,           0,         149,      -6.460913043,      -6.611536549,      -6.465919044,      -5.909048942,      -11.26241474
          0,           0,         150,      -6.466845731,      -6.610770534,        -6.4683939,       -5.91339753,      -11.26155305
          0,           0,         151,      -6.471739282,      -6.610005055,      -6.471373643,      -5.916859597,      -11.26064019
          0,           0,         152,      -6.475548069,      -6.609296231,      -6.474898607,      -5.919430103,      -11.25965999
          0,           0,         153,      -6.478256072,         -6.608699,      -6.479008279,      -5.921129468,      -11.25862935
          0,           0,         154,       -6.47998462,      -6.608263796,      -6.483739489,      -5.922069037,      -11.25775842
          0,           0,         155,      -6.480680849,       -6.60804822,      -6.488775563,      -5.922243966,      -11.25650715
          0,           0,         156,      -6.480559182,      -6.608029415,      -6.494781142,       -5.92183354,      -11.25537585
          0,           0,         157,      -6.479558869,      -6.608307549,      -6.501477109,       -5.92083153,      -11.25422077
          0,           0,         158,      -6.477787284,      -6.608885694,      -6.508866607,      -5.919331656,        -11.253063
          0,           0,         159,      -6.475323584,      -6.609769565,      -6.516938479,      -5.917408353,      -11.25191011
          0,           0,         160,      -6.472324663,      -6.610956279,      -6.525662839,       -5.91517756,      -11.25095388
          0,           0,         161,      -6.469045858,      -6.612363131,      -6.534445983,      -5.912806343,      -11.24987077
          0,           0,         162,       -6.46552025,      -6.613985444,        -6.5437056,      -5.910318499,      -11.24879027
          0,           0,         163,      -6.461841294,      -6.615823882,      -6.553359449,       -5.90777622,      -11.24770503
          0,           0,         164,      -6.458098519,      -6.617853239,      -6.563300677,      -5.905233831,      -11.24658868
          0,           0,         165,      -6.454378793,      -6.620039945,      -6.573400311,      -5.902739345,      -11.24546476
          0,           0,         166,      -6.450737758,      -6.622347904,      -6.583507521,      -5.900320997,      -11.24448528
          0,           0,         167,      -6.447350281,      -6.624626956,      -6.592906222,      -5.898068831,      -11.24347165
          0,           0,         168,      -6.444115714,      -6.626928413,      -6.602001161,      -5.895919186,      -11.24249393
          0,           0,         169,      -6.441060448,       -6.62924727,      -6.610636194,      -5.893885472,      -11.24154367
          0,           0,         170,      -6.438208942,      -6.631568114,      -6.618658242,      -5.891979325,      -11.24064237
          0,           0,         171,      -6.435564656,      -6.633878953,        -6.6259273,      -5.890200921,      -11.23979591
          0,           0,         172,      -6.433133718,      -6.636173394,      -6.632326644,      -5.888554934,      -11.23902432
          0,           0,         173,      -6.430919392,      -6.638452983,      -6.637772175,      -5.887046632,      -11.23832579
          0,           0,         174,      -6.428921416,      -6.640727067,      -6.642218663,      -5.885681622,      -11.23770859
          0,           0,         175,      -6.427135928,      -6.643011642,      -6.645664007,      -5.884466063,      -11.23718839
          0,           0,         176,      -6.425559463,      -6.645328275,      -6.648148786,      -5.883408712,      -11.23674409
          0,           0,         177,      -6.424188187,      -6.647703197,       -6.64975287,      -5.882519258,      -11.23640349
          0,           0,         178,      -6.423019026,      -6.650164625,      -6.650588611,      -5.881809216,      -11.23605009
          0,           0,         179,      -6.422059444,      -6.652877015,      -6.650852097,      -5.881321331,      -11.23590983
          0,           0,         180,      -6.421319457,       -6.65576025,      -6.650593308,      -5.881063043,      -11.23590335
          0,           0,         181,      -6.420799117,      -6.658832269,      -6.649987344,      -5.881047538,      -11.23603708
          0,           0,         182,      -6.420500085,      -6.662111708,      -6.649204173,      -5.881288616,      -11.23632241
          0,           0,         183,      -6.420425716,      -6.665611958,      -6.648399871,      -5.881799088,      -11.23675274
          0,           0,         184,      -6.420582912,       -6.66933635,       -6.64771102,      -5.882592664,      -11.23720892
          0,           0,         185,      -6.421062134,      -6.673487721,      -6.647307195,      -5.883797518,      -11.23796954
          0,           0,         186,      -6.421814825,        -6.6778727,      -6.647259791,      -5.885337825,      -11.23891702
          0,           0,         187,      -6.422847821,      -6.682459342,      -6.647642193,      -5.887214374,      -11.24002013
          0,           0,         188,      -6.424169848,      -6.687207285,      -6.648500967,      -5.889427757,      -11.24124981
          0,           0,         189,      -6.425789835,       -6.69206844,      -6.649857897,      -5.891976082,      -11.24261605
          0,           0,         190,      -6.427715739,      -6.696988089,      -6.651713048,      -5.894854253,      -11.24412565
          0,           0,         191,      -6.429953935,      -6.701906593,      -6.654048098,      -5.898053471,      -11.24577395
          0,           0,         192,      -6.432509476,      -6.706759823,      -6.656829824,      -5.901562728,      -11.24752182
          0,           0,         193,      -6.435384905,      -6.711483151,      -6.660013401,      -5.905367484,      -11.24939004
          0,           0,         194,       -6.43858163,      -6.716012489,      -6.663546044,      -5.909452163,      -11.25137002
          0,           0,         195,      -6.442096133,      -6.720288404,      -6.667370626,      -5.913796653,      -11.25344155
          0,           0,         196,      -6.445923379,      -6.724257968,      -6.671428778,      -5.918379422,      -11.25559369
          0,           0,         197,      -6.450054398,      -6.727878052,      -6.675663787,        -5.9231755,      -11.25780585
          0,           0,         198,      -6.454475891,      -6.731112266,      -6.680024245,      -5.928160225,      -11.26006978
          0,           0,         199,      -6.459177348,       -6.73393617,      -6.684466646,      -5.933310072,      -11.26241003
          0,           0,         200,      -6.464144247,      -6.736337786,      -6.688957565,      -5.938599912,      -11.26477021
          0,           0,         201,      -6.469357504,      -6.738318148,      -6.693475354,      -5.944002571,      -11.26712234
          0,           0,         202,      -6.474792029,      -6.739890918,       -6.69801168,      -5.949486196,      -11.26947127
          0,           0,         203,      -6.480426333,      -6.741078691,      -6.702569661,      -5.955027922,      -11.27178104
          0,           0,         204,      -6.486216999,      -6.741913257,      -6.707166841,      -5.960584327,      -11.27410014
          0,           0,         205,       -6.49212486,      -6.742435485,      -6.711828664,      -5.966122878,      -11.27641246
          0,           0,         206,      -6.498125819,       -6.74269174,      -6.716592675,      -5.971616961,      -11.27870441
          0,           0,         207,      -6.504194384,      -6.742733471,      -6.721499476,      -5.977048902,      -11.28094848
          0,           0,         208,      -6.510264523,      -6.742613799,       -6.72659806,      -5.982364255,      -11.28322747
          0,           0,         209,      -6.516269207,      -6.742390118,      -6.731930195,      -5.987521756,      -11.28553498
          0,           0,         210,      -6.522185191,      -6.742114312,      -6.737539385,      -5.992508993,       -11.2878357
          0,           0,         211,      -6.527867855,      -6.741845351,      -6.743461974,      -5.997231081,      -11.29006727
