"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         253,      -6.030406965,      -3.653214682,      -4.751426114,      -1.728229015
          0,           0,         254,      -6.034152554,      -3.656626303,      -4.756364965,      -1.736729258
          0,           0,         255,      -6.038691771,      -3.661277077,      -4.758481785,      -1.732317848
          0,           0,         256,      -6.043262918,      -3.665610223,      -4.764313819,      -1.743867432
          0,           0,         257,      -6.048076277,      -3.670556262,      -4.766611305,       -1.74036453
          0,           0,         258,      -6.051481674,      -3.673550484,      -4.770283551,      -1.747937515
          0,           0,         259,      -6.057148213,      -3.679463583,      -4.773543021,      -1.747330699
          0,           0,         260,      -6.060770791,      -3.682695294,      -4.777310766,      -1.756962191
          0,           0,         261,       -6.06519235,      -3.687194643,       -4.77806254,      -1.752049972
          0,           0,         262,      -6.069731492,      -3.691446156,       -4.78321361,      -1.764957853
          0,           0,         263,      -6.074445385,      -3.696268268,      -4.784336687,      -1.761505457
          0,           0,         264,      -6.077677715,      -3.699051586,      -4.786891428,      -1.770918351
          0,           0,         265,      -6.083238847,      -3.704816432,      -4.789182496,      -1.770504389
          0,           0,         266,      -6.086763771,      -3.707905547,      -4.792306151,      -1.781741181
          0,           0,         267,       -6.09113499,      -3.712336195,      -4.792629653,      -1.777360746
          0,           0,         268,      -6.095533242,      -3.716395142,      -4.797150286,      -1.791947992
          0,           0,         269,      -6.100127722,      -3.721068868,      -4.797826819,      -1.789139406
          0,           0,         270,      -6.103263006,      -3.723716944,       -4.80019295,      -1.800006068
          0,           0,         271,      -6.108741862,      -3.729352818,      -4.802446508,        -1.8003931
          0,           0,         272,      -6.113211246,      -3.733773358,      -4.803812648,       -1.80090619
          0,           0,         273,      -6.117322604,       -3.73775681,      -4.804970053,      -1.801388411
          0,           0,         274,      -6.122555546,      -3.742939931,      -4.808191342,      -1.806991688
          0,           0,         275,      -6.126801575,      -3.747010711,      -4.809832464,      -1.810766765
          0,           0,         276,      -6.130683096,      -3.750664408,      -4.810954983,      -1.814151764
          0,           0,         277,      -6.135834056,      -3.755695728,      -4.814542098,      -1.821768823
          0,           0,         278,      -6.139986039,      -3.759616146,      -4.816527065,      -1.827234879
          0,           0,         279,      -6.143745145,      -3.763119164,      -4.817773187,       -1.83161276
          0,           0,         280,      -6.148807505,      -3.768028592,      -4.821691599,      -1.839975195
          0,           0,         281,      -6.152875057,      -3.771842416,      -4.824033076,      -1.845831253
          0,           0,         282,      -6.156552895,      -3.775248367,      -4.825629149,      -1.850344286
          0,           0,         283,      -6.161551893,      -3.780070799,      -4.829908294,      -1.858740076
          0,           0,         284,      -6.165553575,       -3.78380313,      -4.832577621,      -1.864441874
          0,           0,         285,      -6.169163795,      -3.787130524,      -4.834444638,      -1.868641969
          0,           0,         286,      -6.174110091,      -3.791880789,      -4.838970544,       -1.87673752
          0,           0,         287,      -6.178053596,       -3.79554428,      -4.841830682,      -1.882006051
          0,           0,         288,      -6.181602103,      -3.798804766,      -4.843814017,      -1.885663913
          0,           0,         289,      -6.186500683,      -3.803494336,       -4.84842672,      -1.893284167
          0,           0,         290,      -6.190389923,      -3.807100467,      -4.851318794,      -1.897975638
          0,           0,         291,      -6.193879907,      -3.810305382,       -4.85326718,      -1.900981533
          0,           0,         292,      -6.198733569,      -3.814945843,      -4.857825507,       -1.90803521
          0,           0,         293,      -6.202570794,      -3.818506027,      -4.860623725,      -1.912095396
          0,           0,         294,      -6.206004455,      -3.821666705,      -4.862427992,      -1.914431769
          0,           0,         295,      -6.210815388,      -3.826269637,      -4.866836002,      -1.920901522
          0,           0,         296,      -6.214602746,      -3.829795065,      -4.869463619,       -1.92435797
          0,           0,         297,      -6.217982331,      -3.832922252,      -4.871063949,      -1.926088271
          0,           0,         298,      -6.222752743,      -3.837498428,      -4.875271357,       -1.93202533
          0,           0,         299,        -6.2271703,      -3.842068561,       -4.87656297,      -1.925680755
          0,           0,         300,       -6.22931207,      -3.843438192,      -4.879091138,      -1.941012705
          0,           0,         301,      -6.234148276,      -3.848161157,      -4.882809496,      -1.944800567
          0,           0,         302,      -6.238611158,      -3.852834316,      -4.883929611,      -1.937479056
          0,           0,         303,      -6.240749875,        -3.8542608,      -4.886228497,      -1.952339067
          0,           0,         304,      -6.245590759,      -3.859032795,      -4.889772941,      -1.955089128
