"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","P_tot","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Residual_Omega","Residual_TKE","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1.335701114e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-2.357710034e-11,0,11.21087742,1.185941582,0.2790178657,4.045334734e-09,-5.965909629e-20,1.58730221e-18,-1.526554996e-18,-1.082808179e-20,0,-3.998134808e-17,-4.652357281e-24,0,0,0,1,1.49743812e-06,1,-2.357710034e-11,0,0,,0.1141116321,-4.199999809,0.1141116321,0
1,1.335698272e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-8.419829504e-13,0,11.21060562,1.185941582,0.2790178657,4.101154083e-09,4.062170251e-19,1.815748092e-18,-1.959031697e-18,-6.249595743e-20,0,-5.182199518e-17,-6.952460716e-24,0,0,0,1,1.497398671e-06,1,-8.419829504e-13,0,0,,0.1165395379,-4.199999809,0.1165395379,0
1,1.335697561e-07,1.197546124,0,2.671767341e-08,1.600000024,1,2.010809921e-11,0,11.21053219,1.185941582,0.2790178657,4.116861518e-09,8.67361738e-19,2.0031897e-18,-1.865150627e-18,-1.341547884e-19,0,-5.093943648e-17,-7.726815258e-24,0,0,0,1,1.497388098e-06,1,2.010809921e-11,0,0,,0.1189674437,-4.199999809,0.1189674437,0
1,1.33571092e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-1.225295256e-12,0,11.2118206,1.185941582,0.2790178657,3.902212331e-09,8.67361738e-19,1.209701188e-18,-2.919486409e-19,-9.608717404e-20,0,-1.097013132e-17,-2.962102688e-24,0,0,0,1,1.497575113e-06,1,-1.225295256e-12,0,0,,0.1213953495,-4.199999809,0.1213953495,0
1,1.335712483e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-2.278418253e-11,0,11.21197796,1.185941582,0.2790178657,3.894327083e-09,1.048724499e-18,6.205613387e-19,5.012446712e-19,-4.529355479e-21,0,-4.983935244e-18,-2.075531696e-24,0,0,0,1,1.497597964e-06,1,-2.278418253e-11,0,0,,0.1238232553,-4.199999809,0.1238232553,0
1,1.335694861e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-4.471360782e-11,0,11.21027851,1.185941582,0.2790178657,4.226202943e-09,1.528107924e-18,3.67213443e-19,1.270423163e-20,1.749251766e-19,0,-5.483981475e-17,-7.561639618e-24,0,0,0,1,1.497351263e-06,1,-4.471360782e-11,0,0,,0.1262511611,-4.199999809,0.1262511611,0
1,1.335688893e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-3.079297928e-11,0,11.20970249,1.185941582,0.2790178657,4.352826544e-09,1.21128131e-18,2.760893138e-19,2.567162269e-19,1.38698065e-19,0,-5.329637514e-17,-6.681410476e-24,0,0,0,1,1.49726759e-06,1,-3.079297928e-11,0,0,,0.1286790669,-4.199999809,0.1286790669,0
1,1.335691877e-07,1.197546124,0,2.671767341e-08,1.600000024,1,1.028326729e-11,0,11.2099762,1.185941582,0.2790178657,4.323975844e-09,2.913432481e-19,3.078460959e-19,1.055620291e-18,-6.090308545e-20,0,-1.281910333e-17,-9.788221611e-25,0,0,0,1,1.49730738e-06,1,1.028326729e-11,0,0,,0.1311069727,-4.199999809,0.1311069727,0
1,1.335695714e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-1.721703335e-11,0,11.21034527,1.185941582,0.2790178657,4.284420374e-09,0,-5.73785658e-20,8.201985619e-20,-1.407948257e-19,0,-1.447535301e-17,-1.186015393e-24,0,0,0,1,1.497360927e-06,1,-1.721703335e-11,0,0,,0.1335348785,-4.199999809,0.1335348785,0
1,1.335699977e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-7.650142325e-11,0,11.21075916,1.185941582,0.2790178657,4.239903983e-09,0,-6.065975477e-19,-1.713107075e-18,-1.652032453e-19,0,-3.56597926e-17,-4.132294419e-24,0,0,0,1,1.49742084e-06,1,-7.650142325e-11,0,0,,0.1359627843,-4.199999809,0.1359627843,0
1,1.335676387e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-8.763406667e-11,0,11.20848846,1.185941582,0.2790178657,4.669816978e-09,0,-1.261250567e-18,-9.01955155e-19,-1.13424143e-19,0,-7.578378136e-18,-1.483366059e-24,0,0,0,1,1.497091375e-06,1,-8.763406667e-11,0,0,,0.138390705,-4.199999809,0.138390705,0
1,1.335641997e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-7.985674622e-11,0,11.20516491,1.185941582,0.2790178657,5.286041382e-09,0,-1.957303303e-18,9.327119015e-19,-3.172558182e-20,0,3.985018371e-17,3.362855663e-24,0,0,0,1,1.496608888e-06,1,-7.985674622e-11,0,0,,0.1408186108,-4.199999809,0.1408186108,0
