"Mach","Pressure","Pressure_Coefficient","Points:0","Points:1","Points:2"
1.0885,0.56721,0.14236,1.399,0.046998,0
1.0884,0.56726,0.14245,1.399,0.047216,0
1.0882,0.5673,0.14254,1.399,0.047434,0
1.0881,0.56734,0.14262,1.399,0.047652,0
1.0879,0.56739,0.14271,1.399,0.04787,0
1.0878,0.56743,0.1428,1.399,0.048088,0
1.0877,0.56748,0.14289,1.399,0.048306,0
1.0875,0.56752,0.14298,1.399,0.048524,0
1.0874,0.56756,0.14306,1.399,0.048742,0
1.0873,0.56761,0.14315,1.399,0.04896,0
1.0873,0.56764,0.14322,1.399,0.049178,0
1.0872,0.56768,0.14329,1.399,0.049396,0
1.0872,0.56771,0.14337,1.399,0.049614,0
1.0872,0.56775,0.14344,1.399,0.049832,0
1.0872,0.5678,0.14354,1.399,0.05005,0
1.0871,0.56785,0.14364,1.399,0.050268,0
1.0871,0.5679,0.14374,1.399,0.050486,0
1.087,0.56795,0.14385,1.399,0.050704,0
1.087,0.568,0.14395,1.399,0.050922,0
1.0869,0.56805,0.14405,1.399,0.05114,0
1.0868,0.5681,0.14414,1.399,0.051358,0
1.0868,0.56815,0.14424,1.399,0.051576,0
1.0867,0.5682,0.14434,1.399,0.051794,0
1.0867,0.56825,0.14444,1.399,0.052012,0
1.0866,0.56829,0.14452,1.399,0.05223,0
1.0865,0.56833,0.1446,1.399,0.052448,0
1.0865,0.56837,0.14469,1.399,0.052666,0
1.0864,0.56842,0.14477,1.399,0.052884,0
1.0864,0.56846,0.14485,1.399,0.053102,0
1.0863,0.5685,0.14493,1.399,0.05332,0
1.0863,0.56853,0.145,1.399,0.053538,0
1.0863,0.56856,0.14505,1.399,0.053756,0
1.0862,0.56859,0.14511,1.399,0.053974,0
1.0862,0.56862,0.14517,1.399,0.054192,0
1.0862,0.56865,0.14523,1.399,0.05441,0
1.0861,0.56867,0.14529,1.399,0.054628,0
1.0861,0.5687,0.14535,1.399,0.054846,0
1.0861,0.56873,0.14541,1.399,0.055064,0
1.086,0.56876,0.14547,1.399,0.055282,0
1.086,0.56879,0.14552,1.399,0.0555,0
1.086,0.56882,0.14558,1.399,0.055718,0
1.0859,0.56885,0.14564,1.399,0.055936,0
1.0859,0.56888,0.14569,1.399,0.056154,0
1.0859,0.5689,0.14573,1.399,0.056372,0
1.0858,0.56892,0.14577,1.399,0.05659,0
1.0858,0.56894,0.14581,1.399,0.056808,0
1.0858,0.56896,0.14585,1.399,0.057026,0
1.0858,0.56898,0.1459,1.399,0.057244,0
1.0857,0.569,0.14594,1.399,0.057462,0
1.0857,0.56903,0.14599,1.399,0.05768,0
1.0857,0.56905,0.14604,1.399,0.057898,0
1.0856,0.56907,0.14608,1.399,0.058116,0
1.0856,0.5691,0.14613,1.399,0.058334,0
1.0856,0.56911,0.14616,1.399,0.058552,0
1.0856,0.56913,0.14619,1.399,0.05877,0
1.0855,0.56914,0.14622,1.399,0.058988,0
1.0855,0.56916,0.14625,1.399,0.059206,0
1.0855,0.56917,0.14628,1.399,0.059424,0
1.0855,0.56919,0.14631,1.399,0.059642,0
1.0855,0.5692,0.14634,1.399,0.05986,0
1.0854,0.56921,0.14637,1.399,0.060078,0
1.0854,0.56923,0.14639,1.399,0.060296,0
1.0854,0.56924,0.14642,1.399,0.060514,0
1.0854,0.56926,0.14645,1.399,0.060732,0
1.0854,0.56927,0.14647,1.399,0.06095,0
1.0853,0.56927,0.14649,1.399,0.061168,0
1.0853,0.56928,0.1465,1.399,0.061386,0
