"Mach,""Pressure"",""Points:0"",""Points:1"",""Points:2"""
1.0981,0.55965,1.4,0.1166,0
1.0981,0.55963,1.4,0.11682,0
1.0981,0.55962,1.4,0.11704,0
1.0981,0.55961,1.4,0.11726,0
1.0981,0.55959,1.4,0.11748,0
1.0981,0.55958,1.4,0.1177,0
1.0981,0.55957,1.4,0.11792,0
1.0982,0.55955,1.4,0.11814,0
1.0982,0.55954,1.4,0.11836,0
1.0982,0.55953,1.4,0.11858,0
1.0982,0.55951,1.4,0.1188,0
1.0982,0.5595,1.4,0.11902,0
1.0982,0.55949,1.4,0.11924,0
1.0982,0.55948,1.4,0.11946,0
1.0982,0.55946,1.4,0.11968,0
1.0982,0.55945,1.4,0.1199,0
1.0982,0.55944,1.4,0.12012,0
1.0983,0.55943,1.4,0.12034,0
1.0983,0.55941,1.4,0.12056,0
1.0983,0.5594,1.4,0.12078,0
1.0983,0.55939,1.4,0.121,0
1.0983,0.55938,1.4,0.12122,0
1.0983,0.55937,1.4,0.12144,0
1.0983,0.55935,1.4,0.12166,0
1.0983,0.55934,1.4,0.12188,0
1.0983,0.55933,1.4,0.1221,0
1.0983,0.55932,1.4,0.12232,0
1.0983,0.55931,1.4,0.12254,0
1.0983,0.5593,1.4,0.12276,0
1.0983,0.55928,1.4,0.12298,0
1.0983,0.55927,1.4,0.1232,0
1.0984,0.55926,1.4,0.12342,0
1.0984,0.55925,1.4,0.12364,0
1.0984,0.55924,1.4,0.12386,0
1.0984,0.55923,1.4,0.12408,0
1.0984,0.55922,1.4,0.1243,0
1.0984,0.55921,1.4,0.12452,0
1.0984,0.5592,1.4,0.12474,0
1.0984,0.55919,1.4,0.12496,0
1.0984,0.55918,1.4,0.12518,0
1.0984,0.55916,1.4,0.1254,0
1.0984,0.55915,1.4,0.12562,0
1.0984,0.55914,1.4,0.12584,0
1.0984,0.55913,1.4,0.12606,0
1.0984,0.55912,1.4,0.12628,0
1.0984,0.5591,1.4,0.1265,0
1.0984,0.55909,1.4,0.12672,0
1.0984,0.55908,1.4,0.12694,0
1.0985,0.55907,1.4,0.12716,0
1.0985,0.55906,1.4,0.12738,0
1.0985,0.55904,1.4,0.1276,0
1.0985,0.55903,1.4,0.12782,0
1.0985,0.55902,1.4,0.12804,0
1.0985,0.55901,1.4,0.12826,0
1.0985,0.55899,1.4,0.12848,0
1.0985,0.55898,1.4,0.1287,0
1.0985,0.55897,1.4,0.12892,0
1.0985,0.55895,1.4,0.12914,0
1.0985,0.55894,1.4,0.12936,0
1.0985,0.55893,1.4,0.12958,0
1.0985,0.55892,1.4,0.1298,0
1.0985,0.5589,1.4,0.13002,0
1.0986,0.55889,1.4,0.13024,0
1.0986,0.55888,1.4,0.13046,0
1.0986,0.55886,1.4,0.13068,0
1.0986,0.55885,1.4,0.1309,0
1.0986,0.55884,1.4,0.13112,0
1.0986,0.55883,1.4,0.13134,0
1.0986,0.55882,1.4,0.13156,0
1.0986,0.55881,1.4,0.13178,0
1.0986,0.55879,1.4,0.132,0
1.0986,0.55878,1.4,0.13222,0
1.0986,0.55877,1.4,0.13244,0
1.0986,0.55876,1.4,0.13266,0
1.0986,0.55875,1.4,0.13288,0
1.0986,0.55874,1.4,0.1331,0
1.0986,0.55873,1.4,0.13332,0
1.0986,0.55871,1.4,0.13354,0
1.0987,0.5587,1.4,0.13376,0
1.0987,0.55869,1.4,0.13398,0
1.0987,0.55868,1.4,0.1342,0
1.0987,0.55867,1.4,0.13442,0
1.0987,0.55866,1.4,0.13464,0
1.0987,0.55865,1.4,0.13486,0
1.0987,0.55864,1.4,0.13508,0
1.0987,0.55863,1.4,0.1353,0
1.0987,0.55862,1.4,0.13552,0
1.0987,0.55861,1.4,0.13574,0
1.0987,0.55859,1.4,0.13596,0
1.0987,0.55858,1.4,0.13618,0
1.0987,0.55857,1.4,0.1364,0
1.0987,0.55856,1.4,0.13662,0
1.0987,0.55855,1.4,0.13684,0
1.0987,0.55854,1.4,0.13706,0
1.0987,0.55853,1.4,0.13728,0
1.0987,0.55852,1.4,0.1375,0
1.0987,0.55851,1.4,0.13772,0
1.0987,0.5585,1.4,0.13794,0
1.0987,0.55849,1.4,0.13816,0
1.0987,0.55848,1.4,0.13838,0
1.0987,0.55847,1.4,0.1386,0
1.0987,0.55847,1.4,0.13882,0
1.0987,0.55846,1.4,0.13904,0
1.0987,0.55845,1.4,0.13926,0
1.0987,0.55844,1.4,0.13948,0
1.0987,0.55843,1.4,0.1397,0
1.0987,0.55842,1.4,0.13992,0
1.0987,0.55842,1.4,0.14014,0
1.0987,0.55841,1.4,0.14036,0
1.0987,0.5584,1.4,0.14058,0
1.0987,0.55839,1.4,0.1408,0
1.0987,0.55838,1.4,0.14102,0
1.0987,0.55837,1.4,0.14124,0
1.0987,0.55835,1.4,0.14146,0
1.0987,0.55834,1.4,0.14168,0
1.0987,0.55833,1.4,0.1419,0
1.0987,0.55832,1.4,0.14212,0
1.0987,0.55831,1.4,0.14234,0
1.0987,0.5583,1.4,0.14256,0
1.0987,0.55829,1.4,0.14278,0
1.0987,0.55828,1.4,0.143,0
1.0987,0.55826,1.4,0.14322,0
1.0987,0.55825,1.4,0.14344,0
1.0988,0.55823,1.4,0.14366,0
1.0988,0.55822,1.4,0.14388,0
1.0988,0.5582,1.4,0.1441,0
1.0988,0.55819,1.4,0.14432,0
1.0988,0.55818,1.4,0.14454,0
1.0988,0.55816,1.4,0.14476,0
1.0988,0.55815,1.4,0.14498,0
1.0988,0.55813,1.4,0.1452,0
1.0988,0.55812,1.4,0.14542,0
1.0988,0.5581,1.4,0.14564,0
